"","Log","Cluster"
"1","NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/Yim1aAzy",7
"2","@special_event32 redskins still suck",7
"3","RG3 leads Redskins over Eagles 27-20 (The Associated Press) PHILADELPHIA (AP) -- With one http://t.co/U4TA4HRw",9
"4","Correct me if I'm wrong, but #Giants can still get into playoffs if #Packers def #Vikings + #Redskins def #Cowboys? And NY wins of course.",7
"5","RG3 leads Redskins over Eagles 27-20 http://t.co/UZqXBQoV",9
"6","RT @_2KnoMeIz2LuvMe: BREAKING NEWS - NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET",5
"7","""@LBSports: Redskins fan Kevin Durant talks trash about Cowboys http://t.co/PKcXJ0bA"" another reason to love KD @TylerMF_Music",7
"8","RT @PGPackersNews: NFL just announced next Sunday's Packers-Vikings game has been moved to 3:25 p.m. Cowboys-Redskins is getting the pri ...",7
"9","(Random) the Redskins are a legitimate team now we can beat you with or without a healthy RG3",7
"10","YOUR Monday Morning Blog talks NFL and Toronto Raptors YwqLuyK5 CalvinJohnson #BigBen #RGIII #Cincinnati...... TUFNbJsf http://t.co/TUFNbJsf",7
"11","Old time rivalry- Cowboys vs Redskins... Heading for showdown on Sunday night, 12-30-12.",5
"12","RT @Mani_Ova_Matter: I'm really mad as shit, I knew we couldn't beat the redskins tho",10
"13","RG3 leads Redskins over Eagles 27-20 (The Associated Press): PHILADELPHIA (AP) -- With one more win, Robert Grif... http://t.co/xiCBC514",9
"14","NFL flexes Dallas Cowboys-Washington Redskins game - http://t.co/HAxAKHKC",7
"15","RG3 Leads Redskins Over Eagles 27-20 http://t.co/DJp9AwZT",9
"16","Washington Redskins vs. Philadelphia Eagles Preview: Hail Skins (video) http://t.co/JbcQsh95",7
"17","Bet the Eagles wont be tweet tweeting today lol. Hail Redskins",7
"18","Dallas #Cowboys given reprieve for showdown with Redskins – Fort Worth Star Telegram http://t.co/CCWLEstt",7
"19","Shut up RT @EaglesDaily: Washington Redskins vs. Philadelphia Eagles Preview: Hail Skins (video) http://t.co/guSZz8Uv",7
"20","NFL playoff picture: Redskins in control with win, Cowboys loss http://t.co/BLo40Nwd via @sbnation",7
"21","@__Hibernian__ @jamesbear19 Agreed. Just support the Redskins with me #RG3",7
"22","My start of the season picks were Atlanta Falcons, Houston Texans and Redskins, so do I still look crazy?",7
"23","Flyttad match och ett avgörande som kan bli än mer dramatiskt än i fjol. http://t.co/KVnICDVL #cowboys #dallascowboys #gogocowboys",7
"24","Seeing my girl Melanie, Redskins winning, Cowboys and Giants losing, supervisors on vacation all week... I couldn't ask for a better Monday!",7
"25","RT @4D_FaSho707_SRD: Redskins got a interesting playbook #Madden13",7
"26","@pianniwheels haha that tweet is saved 👍👍👍👍🚲🚲🚲 come on the redskins",7
"27","RG3 leads Redskins over Eagles 27-20 - Yahoo! News http://t.co/nej9sTSW",7
"28","RT @BmitchliveCSN: #Redskins #Cowboys has been flexed to Sunday Night Football. #NBC #NFL #winnertakeall Exclusive coverage on @ESPNRadi ...",5
"29","RT @roserocks_: @Mortalblade Thank you!  #RockOn @millanovillano @LovePrevention @Redskins @BANDAMONIUM @kirra_spray @leannegrant_ @laug ...",7
"30","Dallas Cowboys  update: Countdown Daily AccuScore: NO-DAL... http://t.co/R2Iw1yqo #NFL #football",7
"31","RG3 leads Redskins over Eagles 27-20 (The Associated Press): PHILADELPHIA (AP) -- With one more win, Robert Grif... http://t.co/oXxQuLru",9
"32","Something in sports that makes me sick: when someone is from DC area & loves the Cowboys- especially w/no connection to Dallas! #Redskins",7
"33","@kdaywins really lol wow! N the redskins",7
"34","Eagles aint good for shit either...niggas was supposed to beat the Redskins today...fuck it...guess My Giants gonna take a year off..",7
"35","@jmariedowns @espnnfl @dallascowboys @redskins #jerk!
I know really disappointing unacceptable turn of events!!!!",7
