"Log Group","Log Count","Top Words","Word Count","Counter"
1,41,"already",41,1
1,41,"cowboys",41,2
1,41,"ready",41,3
1,41,"redskins",41,4
1,41,"–",1,5
2,43,"cowboys",43,1
2,43,"dreams",43,2
2,43,"east",43,3
2,43,"imagine",43,4
2,43,"nfc",43,5
3,145,"redskins",133,1
3,145,"next",102,2
3,145,"week",94,3
3,145,"cowboys",68,4
3,145,"beat",65,5
4,52,"playoffs",54,1
4,52,"redskins",54,2
4,52,"likely",52,3
4,52,"make",52,4
4,52,"ers",51,5
5,193,"sunday",161,1
5,193,"night",152,2
5,193,"redskins",124,3
5,193,"cowboys",98,4
5,193,"game",86,5
6,90,"redskins",84,1
6,90,"nfc",60,2
6,90,"east",56,3
6,90,"espnfirsttake",46,4
6,90,"cowboys",30,5
7,1315,"redskins",1046,1
7,1315,"cowboys",334,2
7,1315,"nfl",271,3
7,1315,"dallas",163,4
7,1315,"win",155,5
8,39,"nfl",44,1
8,39,"playoff",44,2
8,39,"picture",43,3
8,39,"happy",41,4
8,39,"holidays",41,5
9,64,"redskins",64,1
9,64,"eagles",49,2
9,64,"iii",44,3
9,64,"griffin",30,4
9,64,"robert",28,5
10,18,"redskins",18,1
10,18,"tho",17,2
10,18,"cowboys",8,3
10,18,"house",6,4
10,18,"party",6,5
